title,url,author,date,content,people,organizations,funding_mentions,hiring_signals,sectors
How startups could be affected by a prolonged government shutdown,https://techcrunch.com/2025/10/02/how-startups-could-be-affected-by-a-prolonged-government-shutdown/,Dominic-Madori Davis,2025-10-02T09:05:22-07:00,"The U.S. government shutdown could stifle deal flow, freeze visa processing for workers, and cause other problems for startups and the broader tech sector, especially if it lasts longer than a week, according to experts who spoke to TechCrunch. The U.S. government shutdown, which began Tuesday, is the first one in seven years. The unpredictability of the Trump administration coupled with a politically entrenched Congress makes it hard to predict when the shutdown will end. Out of eight shutdowns since 1990, four have happened during Trump administrations; the last one lasted 35 days, the longest in modern history. TechCrunch spoke to investors, founders, and lawyers who warned about delayed deal flow and visa processing for workers. The visa process had already been upended when President Trump recently announced the application fee for an H-1B visa would increase to $100,000 — a number that caused sticker shock within the industry. The main concern is a slowed-down immigration process for startups, since the Department of Labor — which provides first approval for H-1B visas and green cards — is shut down. The result, immigration attorney Sophie Alcorn said, is that the pipeline for hiring and renewing visas for high-skilled workers is completely frozen. “This creates significant uncertainty for a startup’s workforce, including founders who may be on visas themselves,” she told TechCrunch. “Visa workers are hit hard in a shutdown because their status depends on government approvals,” Michael Scarpati, CEO and founder of the fintech RetireUS, added. “When processes like E-Verify or labor certifications stop, workers risk falling out of status, leaving their future in the U.S. uncertain and creating added disruption for the businesses that depend on them.” Thousands of workers in tech are on visas, many of them bringing partners and children with them. “Many are understandably nervous about processing delays and how that affects their ability to stay and work,” Chris Chib, CEO of the strategy solutions company BlueFin Solves, told TechCrunch. “But just as these engineers help us persevere through complex challenges with ML algorithms and innovation, we owe them the same careful attention and commitment during this situation.” Startups may also be affected by delayed or stopped permitting processes and other regulatory requirements, which could drain precious funds and even lead to layoffs. Jenny Fielding, managing partner at Everywhere Ventures, said ongoing political uncertainty always worries her. Though past shutdowns have had little economic impact, this one could lead to layoffs if it lasts too long. “Since we invest in many regulated areas, the shutdown can potentially halt-slash-slow down essential government functions like FDA approvals or aerospace permits, which can be an existential threat to a startup whose entire business model depends on a single regulatory green light,” Fielding told TechCrunch. Fielding said the timing of the shutdown has, once again, been terrible for her and the firm. When Everywhere Ventures started fundraising in early spring, President Trump announced the tariffs that caused uncertainty and drove up costs for some companies. The firm held off on fundraising at the time because limited partners were nervous about investing given the uncertain climate. “And of course, we kicked off fundraising this week, so once again, terrible timing,” she said. As for Fielding’s startups, she said it’s hard to wait and see in this case. Founders always need to think about a Plan B, she said, especially because capital is finite. “If it’s a week shutdown, then that’s manageable,” she continued. “But when it becomes weeks, then it can get uncomfortable.” Garima Kapoor co-founded the software company MinIO with her husband, AB, who came to the U.S. on an H-1B visa a little over a decade ago. She said startups should start preparing now, just in case the government shutdown is prolonged. “When government agencies slow down, deals in highly regulated industries like fintech, health tech, or M&A can grind to a halt. Even companies operating outside the federal sphere could face shrinking valuations and tougher deal terms as more uncertainty seeps into the market,” she told TechCrunch. Overall, founders should remain proactive, communicate transparently with partners and investors, and plan “prudently for slippage,” she said, noting that clarity and alignment will be key here. “Preparedness will separate those who weather the disruption from those who get caught flat-footed.” Chib echoed that sentiment. “Their resilience is part of what drives progress forward,” he said. ”To those facing these challenges, know this too shall pass. Persevere.” Topics © 2025 TechCrunch Media LLC.","Trump, Chris Chib, Michael Scarpati, Garima Kapoor, Jenny Fielding","Trump, Visa, FDA, Sophie Alcorn, RetireUS, Everywhere Ventures, Fielding’s, TechCrunch, the Department of Labor, BlueFin Solves, Congress, ML",$100,hiring,"AI, FINTECH"
"Celebrating the partners driving Disrupt’s big ideas, connections, and community",https://techcrunch.com/2025/10/02/celebrating-the-partners-driving-disrupts-big-ideas-connections-and-community/,Dominic-Madori Davis,2025-10-02T09:00:00-07:00,"TechCrunch Disrupt 2025 wouldn’t be possible without the incredible support of our sponsors, who bring world-class expertise, bold innovation, and community energy to every corner of the conference. Our sponsors are shaping the future of industries — and you can catch them live at Disrupt : 8:35 a.m. – 9:40 a.m. Presented by The Aerospace Corporation AI is transforming countless industries, and space is no exception. The Aerospace Corporation is hosting a pitch-off at TechCrunch Disrupt to showcase startups working on innovative AI solutions to the hardest problems in space exploration, orbital intelligence, and infrastructure. 10:10 a.m. – 10:30 a.m. Presented by Epic Aircraft Epic Aircraft is shaking up aviation with AI, from design to certification to customer support. Fresh off Federal Aviation Administration approval of its E1000 AX, the Oregon startup shows how automation can speed safety, scale, and performance. Don’t miss how startup culture is redefining the future of flight. 11:00 a.m. – 11:20 a.m. Presented by The Aerospace Corporation Space is no longer just rockets and satellites — it’s data and decisions, done fast. AI now powers autonomy, resilient compute, and onboard intelligence, reshaping how missions run at scale. The Aerospace Corporation and innovators reveal how early-stage breakthroughs are building the next space economy. 10:10 a.m. – 10:30 a.m. Presented by WARP AI is changing how we work and the tools we depend on. Join Yuhki Yamashita (chief product officer, Figma), Zach Lloyd (founder and CEO, Warp), and Andrew Reed (partner, Sequoia) for a conversation on how product strategy is evolving in the AI era and what it takes to design great AI experiences 11:40 a.m. – 12:00 p.m. Presented by Bright Data Bright Data CEO Or Lenchner shares how today’s web underpins tomorrow’s AI-powered internet. Discover how to future-proof your stack so chatbots and agents can reason with live data — while tackling scale, speed, and regulatory challenges. Networking is at the heart of Disrupt , and our sponsors make those memorable moments possible: Our marketing partners extend the reach of Disrupt , sharing stories, amplifying innovation, and supporting our mission in countless ways. Thank you for being such valued collaborators: From our headline partners to our many dedicated sponsors, we are grateful for your support in making Disrupt the premier stage for founders, investors, and innovators. Every contribution helps us build a stronger, more connected startup ecosystem: Thank you for being part of the Disrupt journey. We couldn’t do it without you. Topics © 2025 TechCrunch Media LLC.","Sequoia, Warp, Yuhki Yamashita, Zach Lloyd, Presented, Andrew Reed","Epic Aircraft Epic Aircraft, Bright Data Bright Data, The Aerospace Corporation, TechCrunch Disrupt, Federal Aviation Administration, The Aerospace Corporation Space, Disrupt, TechCrunch, The Aerospace Corporation AI, Figma",,,AI
Phoebe Gates and Sophia Kianni share the playbook for scaling consumer AI and winning Gen Z at TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/02/storming-the-gates-scaling-consumer-ai-with-phoebe-gates-and-sophia-kianni-only-at-techcrunch-disrupt-2025/,Dominic-Madori Davis,2025-10-02T08:00:00-07:00,"Consumer AI is having its breakout moment — and few startups have captured the spotlight this year quite like Phia . The AI-powered shopping assistant has become one of 2025’s buzziest launches, not only for its vision of how Gen Z shops, but also for the powerhouse founders leading it: Phoebe Gates and Sophia Kianni . At TechCrunch Disrupt 2025 , happening October 27–29 at San Francisco’s Moscone West, the two will take to the Disrupt Stage to share how they’re building Phia into a durable consumer brand, what it takes to scale in one of tech’s most competitive markets, and how they’re turning viral buzz into lasting market influence. Phia aims to reinvent the way digital natives discover, compare, and shop for products — blending AI assistance with the values of conscious consumerism. For Gen Z, the shopping journey is about more than convenience. It’s about trust, personalization, and aligning choices with personal ethics. Gates and Kianni are betting that the next generation of consumer AI must deliver on all of those fronts at once. Phoebe Gates , co-founder of Phia, is an entrepreneur and passionate advocate for women’s reproductive rights and gender equity. A Stanford graduate in human biology, she has worked with global healthcare leaders, activists, and advocates to drive meaningful social change. Gates applies her entrepreneurial focus to inspire a new generation of women in business. Recognized by Reproductive Freedom for All as the 2024 “Rising Reproductive Freedom Champion,” she continues to be a voice for progress while building Phia into a leading AI shopping brand. Sophia Kianni is the co-founder of Phia. She is an Iranian American entrepreneur and climate activist who has made waves as the founder of Climate Cardinals , the world’s largest youth-led climate nonprofit. Named to Forbes 30 Under 30 and BBC’s 100 Women, she also served as the youngest UN climate adviser in U.S. history. Now she’s applying her storytelling and advocacy expertise to scale Phia. A Stanford alumna, Kianni is focused on using AI to empower smarter, more sustainable consumer choices. Scaling a consumer AI brand is not just about tech — it’s about winning trust, adapting quickly to market shifts, and knowing how to stand out in a noisy space. Gates and Kianni will discuss: With more than 10,000 founders, investors, and operators set to gather at TechCrunch Disrupt 2025, this session is a must-see for anyone building in consumer AI, commerce, or brand-driven tech who wants to win Gen Z loyalty. Be in the room when Phoebe Gates and Sophia Kianni break down the next frontier of AI-powered shopping. Register today to save up to $444 . More than just you? Save 20% for groups of 4-9 by tomorrow, October 3. Topics © 2025 TechCrunch Media LLC.","Gen Z, Kianni, Gen, Phoebe Gates, Phia, Sophia Kianni","TechCrunch Disrupt 2025, Stanford, UN, AI, BBC, Phoebe Gates, Climate Cardinals, Phia, Forbes, TechCrunch, the Disrupt Stage",$444 ,,AI
OpenAI is the world’s most valuable private company after private stock sale,https://techcrunch.com/2025/10/02/openai-is-the-worlds-most-valuable-private-company-after-private-stock-sale/,Dominic-Madori Davis,2025-10-02T07:35:44-07:00,"OpenAI has sold $6.6 billion in shares held by current and former employees, according to a new report from Bloomberg . The sale pushed OpenAI’s total valuation to $500 billion, the highest ever achieved by a privately held company. Purchasers included SoftBank, Dragoneer Investment Group, Thrive Capital, MGX, and T. Rowe Price, the report said. The sale was not a conventional funding round, as the cash went to individuals holding shares or options in OpenAI rather than the company’s own coffers. Still, it’s a powerful retention tool for the company, which has faced significant pressure from Meta’s newly revitalized AI lab. This summer, Meta poached at least seven top engineers from OpenAI , often luring them away with multimillion-dollar signing bonuses . OpenAI’s most recent funding round came in August , when it completed a $40 billion fundraise at a $300 billion valuation. SoftBank, Thrive, T. Rowe Price, and Dragoneer were also investors in that round, as well as private equity firms like Blackstone and TPG, and major venture capitalists like Founders Fund, Sequoia Capital, and Andreessen Horowitz. The sale is also a reminder of OpenAI’s ability to raise cash as needed — a particularly important resource given the company’s ambitious infrastructure plans . OpenAI has committed to spending $300 billion on Oracle Cloud Services over the next five years, a sum that vastly outstrips its current revenue or reserves. However, the powerful momentum of the company’s fundraising suggests it’s not as outlandish as standard arithmetic would indicate. In September, Nvidia announced a plan to invest $100 billion in OpenAI as part of a strategic infrastructure partnership. The new sale comes just weeks after a non-binding agreement between OpenAI and Microsoft , which many saw as paving the way for OpenAI’s conversion into a for-profit entity. But OpenAI’s conversion has not yet been confirmed in court, and the new sales could cause significant complications if the conversion fails to proceed as planned. OpenAI continues to develop and launch products at a blistering pace, releasing its latest Sora 2 video model and accompanying social media feed earlier this week. The company reported $4.3 billion in revenue in the first half of 2025, while burning through $2.5 billion in cash.  Topics © 2025 TechCrunch Media LLC.","Sora 2, Andreessen Horowitz, Dragoneer, OpenAI","SoftBank, Oracle Cloud Services, Meta’s, Thrive Capital, Sequoia Capital, T. Rowe Price, Blackstone, MGX, Microsoft, OpenAI, Dragoneer Investment Group, Founders Fund, TPG, TechCrunch, Meta","$6.6 b, $500 b, $40 b, $300 b, $300 b, $100 b, $4.3 b, $2.5 b",,AI
Last chance alert: Founder and Investor Bundle savings for TechCrunch Disrupt 2025 ends tomorrow,https://techcrunch.com/2025/10/02/last-chance-alert-founder-and-investor-bundle-savings-for-techcrunch-disrupt-2025-ends-tomorrow/,Dominic-Madori Davis,2025-10-02T07:00:00-07:00,"Ticktock! The Founder and Investor Bundle sale for TechCrunch Disrupt 2025 ends tomorrow, October 3, at 11:59 p.m. PT. After that, founders will no longer be able to register in bulk at a discount, and investors will drop back to the standard 15% savings. Don’t miss your chance to save more and supercharge your Disrupt experience as a community . Disrupt 2025 will unite 10,000+ founders, investors, and tech leaders from across the globe. It’s the ultimate launchpad for startups at every stage, where investors spot the next big opportunity first, and innovators witness tomorrow’s tech in action — all while forging connections that drive real growth. Bring your network. Connect with founders or investors. Build the future. Lock in your Founder Bundle → Lock in your Investor Bundle → Topics © 2025 TechCrunch Media LLC.",,TechCrunch,,,
Perplexity acquires the team behind Sequoia-backed AI design startup Visual Electric,https://techcrunch.com/2025/10/02/perplexity-acquires-the-team-behind-sequioa-backed-ai-design-startup-visual-electric/,Dominic-Madori Davis,2025-10-02T06:14:26-07:00,"Sequoia-backed AI design startup Visual Electric said that it is joining search startup Perplexity today. The company noted on its site that the team would be joining a new Agent Experiences group at Perplexity. Aravind Srinivas, Perplexity’s CEO, confirmed the acquisition with a post on X. Deal terms were not disclosed. The startup said that as part of the transition, it will shut down Visual Electric as a product in 90 days. It added that users will be able to export their data, and subscribers will get prorated refunds. Visual Electric was founded in 2022 by Colin Dunn, a former Facebook and Dropbox employee; Adam Menges, a former Apple employee; and Zach Stiggelbout, a former Microsoft engineer. The tool, aimed at designers, lets users create images using AI and apply edits on an infinite canvas. The idea was to have designers build ideations and concepts over a whiteboard. Over time, the company added support for video generation, as well. The startup had raised $2.5 million in funding from Sequoia, BoxGroup, and Designer Fund.   Topics © 2025 TechCrunch Media LLC.","Colin Dunn, Dropbox, Aravind Srinivas, Adam Menges","Zach Stiggelbout, Perplexity, AI, Apple, BoxGroup, Microsoft, Visual Electric, TechCrunch, Designer Fund, Sequoia",$2.5 m,,AI
Oneleet raises $33M to shake up the world of security compliance,https://techcrunch.com/2025/10/02/oneleet-raises-33m-to-shake-up-the-world-of-security-compliance/,Dominic-Madori Davis,2025-10-02T05:00:00-07:00,"Bryan Onel’s father was a locksmith. As for Onel, he described himself as the digital equivalent. Ethical hacking was Onel’s hobby growing up. He studied AI at university and then turned that hacking hobby into a profession. “I spent a decade performing penetration tests for over 150 companies across all sectors,” Onel tells TechCrunch, adding that he kept easily breaking into companies that had passed their security checks. Onel realized that security often fell within two brackets: Painful but effective, or painless but ineffective. Most companies were doing the bare minimum in cybersecurity and compliance, as it often takes too much work — and tools and talent — to provide effective security defenses. Onel’s clients kept asking if he could provide a solution to their problems, so he gave it a shot. In 2022, he teamed up with his wife, Ora, and college friend Erik Vogelzang and launched Oneleet, an all-in-one security compliance platform. The startup aims to help other companies get their security certifications while helping them become more secure faster. Onel tells TechCrunch that most existing compliance platforms are evidence-collection tools, where users import data from their various products, pay a fee, and then — voilà! — out spits a security certificate saying they are secure. “The result is compliance theater,” Onel tells TechCrunch. “You’re certified on paper, but still vulnerable to all kinds of attacks.” Oneleet is different, said Onel. The platform includes a suite of security tools: penetrating testing, code scanning, cloud data security, attack surface management, security training, and more, he said, which aims to provide a better window into a company’s security defenses. “Because it’s integrated from the ground up, we can deploy comprehensive security with the click of a button,” Onel continued. “That saves clients hundreds of hours and eliminates the blind spots that come from managing fragmented tools.” Oneleet then partners with independent auditors to provide formal certification reviews. On Thursday, Oneleet announced it raised a $33 million Series A funding round led by Dawn Capital to help grow the business. Onel called his fundraising process “straightforward” and said he met Dawn Capital in San Francisco, where he described “immediate chemistry.” “They already had deep knowledge of the security and compliance space and immediately understood what we were building at Oneleet, so there was instant alignment,” said Onel. Other investors in the round include Y Combinator, Dropbox co-founder Arash Ferdowsi, and former Snowflake and ServiceNow chief executive Frank Slootman. Oneleet participated in the Summer 2022 class of Y Combinator and said two-thirds of new additions to the VC firm’s portfolio companies are now its clients. Competitors in this space include Vanta, Secureframe, and Sprinto. For its part, Oneleet has reached $9 million in annual recurring revenue and has raised $35 million in total to date. The fresh cash injection will be used to expand Oneleet’s engineering team, increase its AI capabilities, and find ways to reach more customers. The goal is to end security theater in compliance, he said, at a time when defending against cyberattacks is more important than ever. Onel said that AI is changing the scale of cyberattacks. He said, for example, advanced bad actors are automating cybercrimes, while lowering the bar for novice hackers to strike with malicious attacks. He said companies are also being reckless, like carelessly using “vibe coding” tools, or giving AI access to business-critical information without the right guardrails. In the world of compliance, Onel said, companies can use AI to generate fake documentation to make it seem as if the business is more secure than it is. Onel says his company heavily uses AI, working in the background for threat modeling and other security assessments, and also helps draft policies. But, he said, the company has a human team verifying information so the client does not see any hallucinations. “We’re responsible about it,” he said. “Good security should be invisible,” Onel continued. “Companies should spend less time worrying about security and more time building great products. We have a shot at helping companies defend themselves more effectively than ever before.” This story was updated to fix errors regarding ARR. Topics © 2025 TechCrunch Media LLC.","Arash Ferdowsi, Bryan Onel’s, Erik Vogelzang, Ora, Dawn Capital, Secureframe, Frank Slootman","ARR, Dropbox, Y Combinator, Sprinto, AI, Oneleet, Vanta, Snowflake, Dawn Capital, TechCrunch, Onel, ServiceNow","$33 m, $9 m, $35 m",,AI
"Visa crackdowns are blocking students’ study-abroad dreams, so India’s Leverage Edu is rerouting them",https://techcrunch.com/2025/10/01/visa-crackdowns-are-blocking-students-study-abroad-dreams-so-indias-leverage-edu-is-rerouting-them/,Dominic-Madori Davis,2025-10-01T16:26:15-07:00,"As visa crackdowns and diplomatic tensions block traditional study-abroad routes, India’s Leverage Edu is helping students reroute their dreams — from Canada to Germany, and from India to Nigeria and Saudi Arabia. That agility is paying off: The startup has doubled its revenue, turned profitable, and is now expanding its global footprint. Over the past several months, students across emerging markets have faced growing uncertainty around international college admissions. Shifting visa rules and diplomatic tensions — from the 2023-2024 standoff between India and Canada to new strains in India-U.S. ties over tariffs and immigration policy — have disrupted application timelines and eligibility for thousands. Countries such as Canada and Australia have introduced stricter student visa policies , catching many families off guard. Even long-standing local consultants and study-abroad firms have struggled to adapt. Meanwhile, Leverage — the startup behind the study-abroad platform Leverage Edu — has responded by helping students identify alternative destinations and adjust quickly, keeping their plans on track despite the disruption. The eight-year-old startup was quick to respond when India-Canada relations soured, helping Indian students reroute to Germany and assisting Canadian universities in recruiting from Nigeria — effectively salvaging student pipelines in both regions. It is now applying that same playbook amid ongoing U.S.-India strains. While Leverage continues to send students to the U.S., a growing share of that demand now comes from countries like Brazil and Vietnam — where interest in U.S. universities remains strong, founder and CEO Akshay Chaturvedi said in an interview. That ability to shift quickly across geographies is now central to Leverage’s growth strategy. In the last two months, the startup has expanded into Saudi Arabia, Egypt, Vietnam, and Malaysia — emerging markets with growing numbers of students seeking to study abroad but with limited access to structured admissions support. With this push, Leverage now operates in 16 countries where it recruits students, helping them apply to universities across 11 destination countries. Beyond applications, the startup — headquartered in Noida, a tech hub on the outskirts of New Delhi — is positioning itself as a full-service platform for international education, helping students plan, finance, and manage their journeys. Its tools include a mobile app, an AI-powered course search engine, a university matchmaking tool called UniConnect, and a newly launched SaaS suite for global universities under the brand Univalley.ai. The startup has also expanded into adjacent categories, with offerings like Leverage MBBS for medical aspirants under Leverage Edu, as well as Fly Finance for education loans, Fly Homes for student housing, and other services under Leverage Careers and Compass. Leverage now places over 10,000 students annually, up from around 1,500 just a few years ago. Much of that growth has come through organic demand, with 60% of student acquisitions requiring zero customer acquisition cost, according to Chaturvedi. “Our gap has narrowed with most of our global competitors who were either large listed companies or who had raised some of these mega rounds,” he told TechCrunch. Financially, Leverage has seen sharp growth — and turned profitable for the first time this year, a rarity in India’s edtech sector. The startup closed fiscal year 2025 with over ₹1.8 billion (around $20 million) in revenue, doubling from the previous year’s ₹900 million (approximately $10 million). Between April and September, the first half of fiscal year 2026, it generated more than ₹2 billion (roughly $23 million), and is on track to end the fiscal year with ₹3.7-₹3.8 billion (about $45 million) in revenue. On the profitability front, Leverage garnered ₹120-130 million (approximately $1.4-1.5 million) in profit after tax, and expects to surpass ₹250 million ($2.8 million) by the end of fiscal year 2026 — marking a 256% turnaround from a full-year loss of ₹800 million in fiscal year 2025. The startup generates around 25% of its revenue from its platform businesses, which support students beyond admissions — with value-added services including loans, money remittance, housing, and assistance with securing internships or first jobs. The remaining 75% of revenue comes from its core education business —  the student placement and counseling services. Within that, about 20% comes directly from students and 55% from universities in commissions, Chaturvedi told TechCrunch. India remains Leverage’s largest source market, accounting for 58% of its total student base. Within the country, the startup focuses on states like Andhra Pradesh, Kerala, and Punjab — regions that consistently send large numbers of students to universities abroad. In terms of destinations, the U.K. remains Leverage’s largest market, accounting for 52% of student placements, followed by Germany at 22%. Italy — its fastest-growing market this summer — is also gaining traction. North America currently represents less than 5% of total placements for Leverage, reflecting tightened visa rules and diplomatic headwinds in recent years. The startup expects this share to grow as its presence expands across Latin America, Southeast Asia, and the Middle East. With rising revenues and an expanding global footprint, the startup is now weighing a potential IPO in India as early as next year, and investment bankers have already made early pitches, people familiar with the matter told TechCrunch. Founder and CEO Chaturvedi did not deny the possibility of a public listing, but he said Leverage would decide between pursuing an IPO or raising external capital after hitting the $100 million revenue milestone, which the company expects to reach sometime in 2026. So far, Leverage has raised less than $50 million in equity. The company operates across 27 countries through over 50 offices and has a headcount of around 800 people. Topics © 2025 TechCrunch Media LLC.","Compass, Andhra Pradesh, Chaturvedi, Akshay Chaturvedi","UniConnect, India’s Leverage Edu, U.S.-India, IPO, Leverage, Fly Finance, TechCrunch, Fly Homes, Leverage Edu","$20 m, $10 m, $23 m, $45 m, $1.4, $2.8 m, $100 m, $50 m",recruiting,"AI, SAAS"
Self-driving trucks startup Einride raises $100M,https://techcrunch.com/2025/10/01/self-driving-trucks-startup-einride-raises-100m/,Dominic-Madori Davis,2025-10-01T15:13:55-07:00,"Einride, the Swedish startup known for its unusual-looking electric and autonomous pods that are designed to carry freight, said Wednesday it has raised $100 million from several new and existing investors, including its largest shareholder, EQT Ventures. The raise included an undisclosed strategic investment from quantum computing company IonQ. Neither Einride, nor its investors, disclosed the company’s post-money valuation. The funding comes as Einride adjusts to a new CEO and tries to scale its three business products: electric big rigs, autonomous pod-like trucks that navigate fixed routes, and planning software designed for shippers. Einride CEO Roozbeh Charli said the funding would allow the company to grow with its customer base and accelerate the deployment of its autonomous freight technology. The company, which was founded in 2016, started in Sweden with a mission to disrupt the freight industry — first with electric trucks, then with electric autonomous pods, which are purpose-built without a steering wheel or pedals for self-driving. Einride has expanded beyond Sweden and operates a fleet of heavy-duty electric trucks in Europe, North America, and the UAE, for companies like PepsiCo, Carlsberg Sweden, and DP World. The company has made some inroads with its autonomous pod-like trucks with customers Apotea in Sweden and GE Appliances in the United States. “We believe Einride is building the most complete and forward-looking freight ecosystem on the market today,” Ted Persson, partner at EQT Ventures, said in a statement. “Nordic tech has a habit of being underestimated, until it quietly rewires an entire industry. That’s exactly what Einride is doing in freight.” Still, Einride has undergone internal changes and has grappled — along with the rest of the nascent autonomous vehicle technology sector — with the long and expensive process of moving from development to commercial operations. Five months ago, Einride co-founder Robert Falck left the CEO role and took over as executive chairman of the board to focus on the company’s long-term strategy. Charli, who had been CFO, was promoted to the top leadership position. The company previously raised $500 million in 2022 in a Series C round of equity and debt. The equity-based $200 million portion came from backers including Northzone, EQT Ventures, Temasek, Swedish pension fund AMF, Polar Structure, and Norrsken VC. It also secured $300 million in debt funding led by Barclays Europe. Topics © 2025 TechCrunch Media LLC.","Robert Falck, Neither Einride, Ted Persson, Einride, Norrsken VC","PepsiCo, quantum computing, Polar Structure, DP World, CFO, Northzone, UAE, EQT Ventures, Roozbeh Charli, TechCrunch, GE Appliances, Barclays Europe","$100 m, $500 m, $200 m, $300 m",,AI
"What founders need to know before choosing their exit — straight from Roseanne Wincek, Jai Das, and Dan Springer — at TechCrunch Disrupt 2025",https://techcrunch.com/2025/10/01/what-founders-need-to-know-before-choosing-their-exit-at-techcrunch-disrupt-2025/,Dominic-Madori Davis,2025-10-01T13:37:22-07:00,"Exit planning is no longer optional — it’s an essential conversation on the Going Public Stage at TechCrunch Disrupt 2025 , happening October 27–29 at San Francisco’s Moscone West. Whether you’re already eyeing a liquidity event or just starting to scale, this is your chance to hear what top VCs and operators are looking for and how to set up your company for long-term success. Three of the best in the business — Roseanne Wincek of Renegade Partners; Jai Das of Sapphire Ventures; and Dan Springer , CEO of Ironclad, former CEO of DocuSign, and long-time Silicon Valley operator — will break down the decision-making process, from when to make a move to how to be ready when the moment comes. Register now to save up to $444 on your ticket — or up to 20% with a group of 4-9 . Don’t miss a moment of this insightful session. Startups can no longer afford to treat exit planning as an afterthought. Between tighter capital markets, shifting investor expectations, and growing regulatory complexity, founders need a smarter playbook — and this conversation delivers just that. You’ll get real talk on key timing considerations, market signals to watch, and how to structure your business for optionality, whether you’re thinking IPO, acquisition, or just keeping your head down and building. It’s a candid, high-level look at how the best founders are preparing for every possible outcome. TechCrunch Disrupt 2025 brings together over 10,000 startup and VC leaders from around the world, and this session is your front-row seat to one of the most important conversations founders will face. Register now to get your pass for Disrupt — with savings of up to $444 — and take the guesswork out of your exit strategy. Bring your crew and save big — up to 20% off passes for a group of 4-9. Offer ends Friday, October 3 . Get your bundle tickets here . Topics © 2025 TechCrunch Media LLC.","Jai Das, Roseanne Wincek, Dan Springer","the Going Public Stage, TechCrunch Disrupt 2025, DocuSign, IPO, Ironclad, VC, TechCrunch, Exit","$444 , $444 ",,AI
Meet the end-of-life planning startup co-founded by NBA All-Star Russell Westbrook,https://techcrunch.com/2025/10/01/meet-the-end-of-life-planning-startup-co-founded-by-nba-all-star-russell-westbrook/,Dominic-Madori Davis,2025-10-01T09:00:15-07:00,"When Donnell Beverly Jr. decided to launch end-of-life planning startup Eazewell after the loss of both of his parents, he knew exactly who to call to help launch the business: longtime friend, and nine-time NBA All-Star, Russell Westbrook. “The main thesis with Russ across every business that he touches is how do we impact people?” Beverly Jr. [pictured above] told TechCrunch. “He’s been very vocal about that throughout his career. I always say we really took personal pain and then created a platform to really help people.” Westbrook was in. Four-time NBA All-Star Kemba Walker also joined, and the trio launched Eazewell. Eazewell is an AI-driven platform that helps families navigate and automate the administrative aspects of end-of-life and funeral planning. The startup’s AI agent gives people a 24-hour, 7-day-a-week resource and helps users with everything from finding and booking a funeral home to canceling credit card accounts for a deceased person. The company partners with different service providers, like hospice care, funeral homes, and various insurance companies, which allows the platform to be free to use with the option of paying for more premium features. “I had an opportunity to be able to be close with his family and go through the process with [Beverly Jr.],” Westbrook told TechCrunch. “He’s done an amazing job of idealizing this idea and bringing it to life. I’m excited to kind of be a partner with him [and] alongside him on this.” Beverly Jr. said he got the idea for Eazewell after losing both of his parents in a short period of time. Navigating what came after their deaths made him realize how large of a burden the end-of-life process can be — and how fragmented the market of these services is. He added that seeing the recent advancements in AI made him realize the technology could be used to help reduce the number of administrative tasks grieving families need to tackle following a death. “We’ve seen how AI has impacted our lives while we’re here, but you know now we’re entering a space where it’s impacting our lives after death,” Beverly Jr. said. Eazewell was founded in 2024. The company said it has been able to help more than 100,000 families since its launched its platform earlier this year. Now, Eazewell is rolling out a new enterprise platform for hospice companies, senior living facilities, and life insurers. This allows companies to fold Eazewell’s automated features into their own management software. In the future, Eazwell hopes to help people manage a loved one’s digital assets after they pass, a task that has become a bigger undertaking as people’s lives are increasingly online. “The average person has anywhere between 70 and 100 digital accounts that are active at any time,” Beverly Jr. said. “Your family is inheriting all those digital accounts and those digital assets as well. And that’s not typical. We’re stepping into a new kind of realm within that. When we look at the whole landscape, we see a grand opportunity to not only help people but just make it a lot more seamless.” For Westbrook, Eazewell offers the perfect opportunity to go into business with a decades-long friend while also being able to use his platform to amplify a business that can help people — especially those from underserved and under-resourced communities — navigate this painful and costly experience. “Anytime I put my name on anything, I try to find ways to open doors, build trust, find ways to play a big role in it and be present because I think that’s important,” Westbrook said. “And this isn’t about me or being super technical by any means, but it’s more importantly about families finding ways to be able to help them through a loss. And for me, using my platform to be able to do that is a no-brainer.” Topics © 2025 TechCrunch Media LLC.","Russell Westbrook, Westbrook, Russ, Eazwell, Donnell Beverly Jr.","Westbrook, Eazewell’s, Eazewell, TechCrunch, NBA",,,AI
